@relation Motion

@attribute Entry numeric
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute z3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute z4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute z5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute z6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute z7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute z8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute z9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute z10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute z11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute z12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute z13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute z14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute z15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute z16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute z17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute z18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute z19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute z20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute z21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute z22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute z23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute z24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute z25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute z26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute z27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute z28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute z29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute z30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute z31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute z32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute z33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute z34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute z35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute z36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute z37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute z38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute z39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute z40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute z41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute z42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute z43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute z44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute z45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute z46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute z47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute z48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute z49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute z50 numeric
@attribute label {3,2,1}

@data
1,3.735,-1.024,7.316,8.255,-1.561,8.159,8.255,-1.561,8.159,6.924,-2.844,4.348,6.924,-2.844,4.348,8.198,-3.275,1.302,8.198,-3.275,1.302,12.038,-4.348,3.543,12.038,-4.348,3.543,6.684,-2.624,0.89,6.684,-2.624,0.89,10.237,-3.706,3.38,10.237,-3.706,3.38,12.134,-3.648,4.012,12.134,-3.648,4.012,8.073,-4.041,2.288,8.073,-4.041,2.288,8.035,-3.15,3.419,8.035,-3.15,3.419,12.201,-3.581,5.114,12.201,-3.581,5.114,12.201,-3.581,5.114,8.485,-4.166,2.509,8.485,-4.166,2.509,8.485,-4.166,2.509,8.542,-3.208,3.131,8.542,-3.208,3.131,8.542,-3.208,3.131,11.923,-2.633,5.181,11.923,-2.633,5.181,11.923,-2.633,5.181,7.671,-3.792,2.94,7.671,-3.792,2.94,7.671,-3.792,2.94,9.031,-4.443,4.089,9.031,-4.443,4.089,9.031,-4.443,4.089,13.379,-2.978,4.644,13.379,-2.978,4.644,13.379,-2.978,4.644,6.1,-4.367,2.844,6.1,-4.367,2.844,6.1,-4.367,2.844,7.738,-4.003,2.949,7.738,-4.003,2.949,7.738,-4.003,2.949,11.502,-3.533,3.064,11.502,-3.533,3.064,11.502,-3.533,3.064,6.263,-4.855,3.457,1
2,6.138,-1.34,7.853,5.918,-4.357,4.108,5.918,-4.357,4.108,8.935,-7.585,1.58,8.935,-7.585,1.58,4.597,-5.554,0.249,4.597,-5.554,0.249,9.203,-8.648,-0.038,9.203,-8.648,-0.038,4.855,-5.679,-0.612,4.855,-5.679,-0.612,7.91,-7.374,-0.095,7.91,-7.374,-0.095,9.835,-7.355,-0.076,9.835,-7.355,-0.076,7.01,-7.259,0.402,7.01,-7.259,0.402,7.249,-7.738,0.095,7.249,-7.738,0.095,11.722,-6.876,1.494,11.722,-6.876,1.494,7.211,-6.895,0.249,7.211,-6.895,0.249,6.847,-7.182,0,6.847,-7.182,0,11.961,-7.259,-1.187,11.961,-7.259,-1.187,11.961,-7.259,-1.187,6.397,-7.01,0.852,6.397,-7.01,0.852,6.397,-7.01,0.852,7.278,-5.784,0.363,7.278,-5.784,0.363,7.278,-5.784,0.363,7.7,-7.029,2.375,7.7,-7.029,2.375,7.7,-7.029,2.375,7.316,-5.19,2.269,7.316,-5.19,2.269,7.316,-5.19,2.269,10.621,-6.32,2.451,10.621,-6.32,2.451,10.621,-6.32,2.451,7.221,-5.573,2.212,7.221,-5.573,2.212,7.221,-5.573,2.212,12.526,-5.066,2.375,12.526,-5.066,2.375,12.526,-5.066,2.375,5.784,-6.004,1.685,1
3,2.614,0.794,8.265,8.111,-5.181,1.436,8.111,-5.181,1.436,8.676,-3.198,-0.181,8.676,-3.198,-0.181,5.755,-9.692,-0.22,5.755,-9.692,-0.22,7.02,-7.728,-1.149,7.02,-7.728,-1.149,8.169,-6.895,-0.009,8.169,-6.895,-0.009,8.169,-6.895,-0.009,5.162,-9.136,-0.191,5.162,-9.136,-0.191,7.69,-6.387,-1.034,7.69,-6.387,-1.034,8.561,-7.776,0.632,8.561,-7.776,0.632,4.999,-8.351,-0.134,4.999,-8.351,-0.134,7.182,-6.809,-1.12,7.182,-6.809,-1.12,8.581,-8.006,-0.229,8.581,-8.006,-0.229,8.581,-8.006,-0.229,4.817,-7.862,-0.43,4.817,-7.862,-0.43,4.817,-7.862,-0.43,9.136,-6.608,-1.082,9.136,-6.608,-1.082,9.519,-7.364,0.555,9.519,-7.364,0.555,9.519,-7.364,0.555,5.755,-2.413,4.453,5.755,-2.413,4.453,5.755,-2.413,4.453,9.835,-8.083,1.752,9.835,-8.083,1.752,9.835,-8.083,1.752,9.28,-5.985,-0.641,9.28,-5.985,-0.641,6.771,-4.692,-0.679,6.771,-4.692,-0.679,6.771,-4.692,-0.679,10.113,-4.424,4.788,10.113,-4.424,4.788,8.705,-4.367,2.269,8.705,-4.367,2.269,8.705,-4.367,2.269,7.24,-2.796,1.637,1
4,2.011,0.861,9.682,9.203,-4.913,3.265,9.203,-4.913,3.265,5.947,-5.324,0.191,5.947,-5.324,0.191,12.431,-10.477,-0.239,12.431,-10.477,-0.239,4.405,-5.717,0.134,4.405,-5.717,0.134,8.514,-7.958,0.172,8.514,-7.958,0.172,12.095,-6.751,-1.513,12.095,-6.751,-1.513,7.805,-7.642,-0.383,7.805,-7.642,-0.383,6.349,-7.977,-0.306,6.349,-7.977,-0.306,12.182,-7.374,-1.34,12.182,-7.374,-1.34,8.169,-9.174,1.187,8.169,-9.174,1.187,5.717,-8.6,0,5.717,-8.6,0,5.717,-8.6,0,11.779,-6.857,-1.608,11.779,-6.857,-1.608,11.779,-6.857,-1.608,7.949,-8.973,0.22,7.949,-8.973,0.22,7.949,-8.973,0.22,8.437,-5.679,0.842,8.437,-5.679,0.842,13.992,-7.527,1.465,13.992,-7.527,1.465,13.992,-7.527,1.465,7.431,-8.504,1.264,7.431,-8.504,1.264,7.431,-8.504,1.264,7.058,-7.067,-0.325,7.058,-7.067,-0.325,14.346,-5.64,0.249,14.346,-5.64,0.249,14.346,-5.64,0.249,7.891,-9.376,2.336,7.891,-9.376,2.336,7.891,-9.376,2.336,6.646,-5.66,1.321,6.646,-5.66,1.321,6.646,-5.66,1.321,14.365,-4.96,-1.225,1
5,7.182,-3.964,6.569,7.949,-7.594,-0.804,7.949,-7.594,-0.804,7.949,-7.594,-0.804,3.773,-6.684,-0.718,3.773,-6.684,-0.718,10.544,-11.818,0.861,10.544,-11.818,0.861,4.405,-5.928,-0.44,4.405,-5.928,-0.44,4.405,-5.928,-0.44,8.37,-6.062,-0.143,8.37,-6.062,-0.143,8.37,-6.062,-0.143,10.008,-7.211,1.599,10.008,-7.211,1.599,10.008,-7.211,1.599,1.934,-9.73,0.555,1.934,-9.73,0.555,1.934,-9.73,0.555,9.912,-6.905,-0.967,9.912,-6.905,-0.967,9.912,-6.905,-0.967,9.021,-8.791,1.197,9.021,-8.791,1.197,4.98,-8.456,-0.603,4.98,-8.456,-0.603,4.98,-8.456,-0.603,13.36,-7.106,-0.842,13.36,-7.106,-0.842,13.36,-7.106,-0.842,4.213,-8.983,0.459,4.213,-8.983,0.459,4.213,-8.983,0.459,12.162,-7.652,-1.905,12.162,-7.652,-1.905,12.162,-7.652,-1.905,4.913,-9.203,1.139,4.913,-9.203,1.139,4.913,-9.203,1.139,9.912,-6.761,-0.632,9.912,-6.761,-0.632,9.912,-6.761,-0.632,5.746,-6.225,1.494,5.746,-6.225,1.494,5.746,-6.225,1.494,6.445,-6.694,0.881,6.445,-6.694,0.881,6.445,-6.694,0.881,8.312,-7.441,1.608,1
6,-2.403,2.959,7.192,8.676,0.21,5.238,8.676,0.21,5.238,8.676,0.21,5.238,9.529,6.704,10.352,9.529,6.704,10.352,5.363,-0.44,0.095,5.363,-0.44,0.095,10.86,6.196,3.064,10.86,6.196,3.064,10.86,6.196,3.064,10.036,1.35,2.499,10.036,1.35,2.499,10.036,1.35,2.499,11.674,1.656,2.547,11.674,1.656,2.547,11.674,1.656,2.547,10.889,3.658,4.29,10.889,3.658,4.29,6.071,0.756,2.633,6.071,0.756,2.633,6.167,4.108,4.051,6.167,4.108,4.051,3.275,3.102,8.935,3.275,3.102,8.935,3.275,3.102,8.935,10.027,1.369,5.995,10.027,1.369,5.995,10.027,1.369,5.995,8.667,-1.436,5.937,8.667,-1.436,5.937,8.667,-1.436,5.937,10.285,2.221,5.363,10.285,2.221,5.363,10.285,2.221,5.363,6.378,1.369,6.838,6.378,1.369,6.838,6.378,1.369,6.838,8.054,1.857,7.709,8.054,1.857,7.709,8.054,1.857,7.709,9.481,0.89,6.55,9.481,0.89,6.55,9.481,0.89,6.55,9.874,1.589,4.29,9.874,1.589,4.29,9.874,1.589,4.29,9.625,1.494,5.238,9.625,1.494,5.238,9.625,1.494,5.238,1
7,0.938,2.911,7.604,9.05,0.603,9.012,9.05,0.603,9.012,9.05,0.603,9.012,10.467,1.857,8.226,10.467,1.857,8.226,10.467,1.857,8.226,8.073,-0.928,3.313,8.073,-0.928,3.313,8.073,-0.928,3.313,8.284,3.284,0.316,8.284,3.284,0.316,8.245,0.469,0.593,8.245,0.469,0.593,8.245,0.469,0.593,11.799,0.948,-0.421,11.799,0.948,-0.421,11.799,0.948,-0.421,13.915,2.652,1.685,13.915,2.652,1.685,13.915,2.652,1.685,7.977,-1.522,1.436,7.977,-1.522,1.436,7.824,2.719,-0.747,7.824,2.719,-0.747,7.728,-0.086,0.737,7.728,-0.086,0.737,7.728,-0.086,0.737,9.653,2.509,0.45,9.653,2.509,0.45,9.653,2.509,0.45,7.709,-0.986,1.101,7.709,-0.986,1.101,7.709,-0.986,1.101,10.439,2.202,0.976,10.439,2.202,0.976,10.439,2.202,0.976,9.787,-0.402,0.67,9.787,-0.402,0.67,9.787,-0.402,0.67,12.795,2.834,1.455,12.795,2.834,1.455,12.795,2.834,1.455,10.113,-0.986,0.43,10.113,-0.986,0.43,10.113,-0.986,0.43,13.091,2.413,1.254,13.091,2.413,1.254,13.091,2.413,1.254,10.534,-0.134,-0.258,1
8,1.359,4.529,7.91,1.896,2.604,7.91,1.896,2.604,7.91,1.896,2.604,7.91,12.699,-1.953,6.273,12.699,-1.953,6.273,12.699,-1.953,6.273,9.577,1.666,3.591,9.577,1.666,3.591,9.577,1.666,3.591,4.616,-1.426,1.503,4.616,-1.426,1.503,4.616,-1.426,1.503,10.908,1.781,-1.245,10.908,1.781,-1.245,14.863,0.641,2.509,14.863,0.641,2.509,10.582,-3.313,1.57,10.582,-3.313,1.57,10.094,1.379,1.273,10.094,1.379,1.273,10.094,1.379,1.273,5.363,-2.873,2.039,5.363,-2.873,2.039,13.8,0.823,-0.229,13.8,0.823,-0.229,14.921,0.555,1.484,14.921,0.555,1.484,14.921,0.555,1.484,8.82,-2.212,0,8.82,-2.212,0,8.82,-2.212,0,11.741,3.668,0.488,11.741,3.668,0.488,11.741,3.668,0.488,6.608,-1.187,-0.229,6.608,-1.187,-0.229,6.608,-1.187,-0.229,10.218,2.451,-1.963,10.218,2.451,-1.963,10.218,2.451,-1.963,12.191,0.948,1.676,12.191,0.948,1.676,12.191,0.948,1.676,11.751,-1.13,0.756,11.751,-1.13,0.756,11.751,-1.13,0.756,12.517,2.394,1.532,12.517,2.394,1.532,12.517,2.394,1.532,1
9,0,3.476,7.671,8.839,-1.379,7.202,8.839,-1.379,7.202,10.601,3.715,6.656,10.601,3.715,6.656,10.601,3.715,6.656,6.253,-3.093,1.848,6.253,-3.093,1.848,11.396,0.411,-2.643,11.396,0.411,-2.643,13.81,-0.727,1.886,13.81,-0.727,1.886,13.81,-0.727,1.886,10.314,-3.332,0.67,10.314,-3.332,0.67,7.345,1.379,-0.699,7.345,1.379,-0.699,12.469,-0.814,1.733,12.469,-0.814,1.733,10.735,-2.662,-0.335,10.735,-2.662,-0.335,7.221,1.063,0.086,7.221,1.063,0.086,9.557,-1.331,2.068,9.557,-1.331,2.068,9.557,-1.331,2.068,12.613,-1.704,0.172,12.613,-1.704,0.172,12.613,-1.704,0.172,13.896,0.038,3.313,13.896,0.038,3.313,13.896,0.038,3.313,5.985,-2.604,2.02,5.985,-2.604,2.02,5.985,-2.604,2.02,9.672,2.116,0.632,9.672,2.116,0.632,9.672,2.116,0.632,5.391,-1.149,6.454,5.391,-1.149,6.454,5.391,-1.149,6.454,3.265,3.974,8.533,3.265,3.974,8.533,3.265,3.974,8.533,0.21,5.602,10.563,0.21,5.602,10.563,0.21,5.602,10.563,3.85,-0.737,4.52,3.85,-0.737,4.52,8.676,2.336,3.907,1
10,1.762,3.677,9.921,3.284,-2.135,4.405,3.284,-2.135,4.405,3.284,-2.135,4.405,8.198,0.45,3.543,8.198,0.45,3.543,8.198,0.45,3.543,9.778,-1.245,8.629,9.778,-1.245,8.629,9.778,-1.245,8.629,9.787,-2.94,5.028,9.787,-2.94,5.028,9.787,-2.94,5.028,10.161,0.871,5.956,10.161,0.871,5.956,10.161,0.871,5.956,4.271,-1.331,2.068,4.271,-1.331,2.068,4.271,-1.331,2.068,9.213,2.049,2.375,9.213,2.049,2.375,11.435,0.957,8.59,11.435,0.957,8.59,7.891,-2.059,6.301,7.891,-2.059,6.301,9.04,0.134,8.715,9.04,0.134,8.715,9.04,0.134,8.715,4.644,-1.369,6.024,4.644,-1.369,6.024,4.644,-1.369,6.024,7.259,0.325,9.174,7.259,0.325,9.174,7.259,0.325,9.174,5.583,-1.867,6.177,5.583,-1.867,6.177,5.583,-1.867,6.177,7.623,0.421,9.51,7.623,0.421,9.51,7.623,0.421,9.51,5.717,-2.106,6.34,5.717,-2.106,6.34,5.717,-2.106,6.34,7.077,0.718,9.739,7.077,0.718,9.739,7.077,0.718,9.739,7.058,-0.603,5.458,7.058,-0.603,5.458,7.058,-0.603,5.458,7.412,1.005,9.155,1
